"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:35","24,91 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1988","blok","drewniane","nie",NA,NA,NA,NA,"wielka plyta","240 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-okrzei-do-wejscia-ID4hh0d","lublin",NA
"1:36","30 m²","pelna wlasnosc","1 ","zapytaj","2/3","balkon","260 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","meble, kuchenka","piwnica, oddzielna kuchnia","cegla","279 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-przy-miasteczku-akademickim-ID4hgXL","lublin",NA
"1:37","33 m²","pelna wlasnosc","1 ","do zamieszkania","10/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1976","blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","309 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-z-oddzielna-kuchnia-ID4gYGk","lublin",NA
"1:38","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","240 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","internet","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica","cegla","368 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2pokojowe-wieniawa-ul-klemensa-junoszy-ID4hbDt","lublin",NA
"1:39","34,5 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","300 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica",NA,"289 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-dziesiata-cena-do-negocjacji-ID4h8f3","lublin",NA
"1:40","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","3/3","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1962","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. uzytkowe",NA,"340 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-38m2-balladyny-lsm-ID4hdD6","lublin",NA
"1:41","15 m²","udzial","1 ","do zamieszkania","1/2","zapytaj","300 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1960","blok","plastikowe","nie",NA,NA,NA,NA,"inne","137 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-15-m-lublin-centrum-ID4gDCz","lublin","2022-07-01"
"1:42","36 m²","pelna wlasnosc","2 ","do wykonczenia","6/7","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1977","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"328 000 zl","https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-na-czechowie-ID4gC5Q","lublin","2022-07-01"
"1:43","28,31 m²","pelna wlasnosc","1 ","zapytaj","5/5","balkon","270 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,NA,NA,"295 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-po-remoncie-wieniawa-ID4gKYK","lublin",NA
"1:44","36 m²","pelna wlasnosc","2 ","do zamieszkania","6/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1969","blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","320 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-bez-piecyka-z-balkonem-srodmiescie-ID4gSDz","lublin",NA
