"","X","Powierzchnia","Forma.wlasnosci","Liczba.pokoi","Stan.wykonczenia","Pietro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsluga.zdalna","Ogrzewanie","Rynek","Typ.ogloszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje.dodatkowe","Material.budynku","cena","urlo","miasto","Dostepne.od","SQRM"
"1:38","1:39",34,"pelna wlasnosc","2","do zamieszkania","3/4","zapytaj","300 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica",NA,289000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-dziesiata-cena-do-negocjacji-ID4h8f3","lublin",NA,8500
"1:39","1:40",38,"spóldzielcze wlasnosciowe","2","do zamieszkania","3/3","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",1962,"blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. uzytkowe",NA,340000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-38m2-balladyny-lsm-ID4hdD6","lublin",NA,8947
"1:40","1:41",15,"udzial","1","do zamieszkania","1/2","zapytaj","300 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",1960,"blok","plastikowe","nie",NA,NA,NA,NA,"inne",137000,"https://www.otodom.pl/pl/oferta/kawalerka-15-m-lublin-centrum-ID4gDCz","lublin","2022-07-01",9133
"1:41","1:42",36,"pelna wlasnosc","2","do wykonczenia","6/7","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1977,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,328000,"https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-na-czechowie-ID4gC5Q","lublin","2022-07-01",9111
"1:42","1:43",28,"pelna wlasnosc","1","zapytaj","5/5","balkon","270 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,NA,NA,295000,"https://www.otodom.pl/pl/oferta/przestronna-kawalerka-po-remoncie-wieniawa-ID4gKYK","lublin",NA,10536
"1:43","1:44",36,"pelna wlasnosc","2","do zamieszkania","6/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1969,"blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta",320000,"https://www.otodom.pl/pl/oferta/dwa-pokoje-bez-piecyka-z-balkonem-srodmiescie-ID4gSDz","lublin",NA,8889
"1:44","1:45",31,"pelna wlasnosc","1","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper",2023,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,259476,"https://www.otodom.pl/pl/oferta/kawalerka-bezposrednio-od-dewelopera-ID4e2At","lublin",NA,8370
"1:45","1:46",31,"pelna wlasnosc","1","do wykonczenia","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper",2023,"blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,295000,"https://www.otodom.pl/pl/oferta/koncertowa-dolina-budynek-21-mieszkanie-m1-ID4gQjr","lublin",NA,9516
"1:46","1:48",25,"zapytaj","1","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1939,"kamienica","plastikowe","nie",NA,NA,NA,"piwnica",NA,250000,"https://www.otodom.pl/pl/oferta/lublin-srodmiescie-studio-25-m2-idealne-pod-najem-ID4hfKX","lublin",NA,10000
"1:47","1:49",30,"pelna wlasnosc","1","zapytaj","parter/4","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1979,NA,NA,"nie",NA,NA,"lodówka, piekarnik, pralka","piwnica","inne",309000,"https://www.otodom.pl/pl/oferta/kawalerka-30m2-wrotkow-ID4hfKt","lublin",NA,10300
